要求	アクター	機能非機能
オーナーを登録できること	会議室オーナー	機能
規約を参照・確認できること	会議室オーナー	機能
オーナー申請ができること	会議室オーナー	機能
オーナーを退会できること	会議室オーナー	機能
プロフィールを登録できること	会議室オーナー	機能
会議室を登録できること	会議室オーナー	機能
会議室の物件情報（広さ、価格、機能性）を登録できること	会議室オーナー	機能
運用ルール（キャンセルポリシー、貸出可否）を設定できること	会議室オーナー	機能
会議室評価を確認できること	会議室オーナー	機能
利用者の使用許諾を判断できること（過去の利用評価の確認）	会議室オーナー	機能
会議室のカギを貸し出せること	会議室オーナー	機能
利用者を評価できること	会議室オーナー	機能
利用者からの問合せに回答できること	会議室オーナー	機能
会議室の利用実績を管理できること	会議室オーナー	機能
会議室評価（利用者からの評価）を確認できること	会議室オーナー	機能
売上実績を管理できること	会議室オーナー	機能
手数料売上を分析できること（会議室別、貸出別）	サービス運営担当者	機能
オーナー登録を審査できること	サービス運営担当者	機能
サービスの運用管理ができること	サービス運営担当者	機能
利用履歴を管理できること（会員別、物件別）	サービス運営担当者	機能
会議室利用状況を分析できること	サービス運営担当者	機能
利用者からのサービス問合せに対応できること	サービス運営担当者	機能
会議室オーナーへの精算ができること	サービス運営担当者	機能
会議室別の利用履歴からオーナーへの精算額を支払えること	サービス運営担当者	機能
会議室を照会できること（広さ、価格、機能性、評価）	利用者	機能
会議室を予約できること	利用者	機能
決済方法（クレジットカード、電子マネー）を設定できること	利用者	機能
予約の変更ができること	利用者	機能
予約の取消ができること	利用者	機能
会議室オーナーへ問合せできること	利用者	機能
利用した会議室とホストを評価できること	利用者	機能
会議室の予約時に決済手段を登録できること	利用者	機能
会議室利用後に利用料を引き落とせること	サービス運営担当者	機能
月末に会議室オーナーに利用料を支払えること	サービス運営担当者	機能
決済機関と連携して精算処理ができること	サービス運営担当者	機能
