コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
オーナー管理	オーナー情報	オーナーID、氏名、メールアドレス、電話番号、プロフィール、登録日	オーナー申請	オーナー状態		会議室オーナーの登録情報。プロフィール、申請状態を管理する
オーナー管理	オーナー申請	申請ID、オーナーID、申請日、審査結果、審査日、規約確認日	オーナー情報			オーナー登録申請の情報。規約確認状態と審査結果を含む
会議室管理	会議室情報	会議室ID、会議室名、所在地、広さ、価格、機能性、オーナーID	オーナー情報、運用ルール、会議室評価	会議室状態		会議室の物件情報。広さ、価格、機能性を管理する
会議室管理	運用ルール	ルールID、会議室ID、キャンセルポリシー、貸出可否、最低利用時間	会議室情報			会議室の運用ルール。キャンセルポリシーと貸出可否を管理する
予約管理	予約情報	予約ID、利用者ID、会議室ID、予約日時、利用開始日時、利用終了日時、決済方法	会議室情報、決済情報、利用者評価	予約状態	決済方法	会議室の予約情報。利用者、会議室、日時、決済方法を管理する
予約管理	鍵	鍵ID、会議室ID、鍵種別	会議室情報	鍵状態		会議室の鍵の管理情報。貸出状態を管理する
評価管理	利用者評価	評価ID、オーナーID、利用者ID、予約ID、評価点、コメント、評価日	予約情報、オーナー情報		評価種別	オーナーが利用者に対して登録する評価情報
評価管理	会議室評価	評価ID、利用者ID、会議室ID、予約ID、会議室評価点、ホスト評価点、コメント、評価日	予約情報、会議室情報		評価種別	利用者が会議室とホストに対して登録する評価情報
問合せ管理	問合せ	問合せID、送信者ID、宛先種別、宛先ID、件名、内容、回答、問合せ日、回答日	予約情報		問合せ種別	利用者からの問合せ情報。オーナーまたはサービス運営担当者への質問と回答を管理する
利用実績管理	利用実績	実績ID、会議室ID、予約ID、利用日時、利用時間、利用料金	予約情報、会議室情報	会議室利用状態		会議室の利用実績情報。利用履歴を管理する
利用実績管理	売上実績	売上ID、会議室ID、オーナーID、月、売上金額、手数料金額	利用実績、オーナー情報			会議室の売上実績情報。オーナーの収益を管理する
精算管理	手数料売上	手数料ID、会議室ID、予約ID、手数料金額、手数料率	利用実績		売上分析軸	サービス運営の手数料売上情報。会議室別・貸出別の手数料を管理する
精算管理	精算情報	精算ID、オーナーID、精算月、精算金額、支払日、支払状態	売上実績、オーナー情報			オーナーへの精算情報。月末の利用料支払い額を管理する
決済管理	決済情報	決済ID、利用者ID、決済方法、カード番号、電子マネーID、登録日	予約情報		決済方法	決済手段の情報。クレジットカード・電子マネーの登録情報を管理する
利用状況管理	利用履歴	履歴ID、利用者ID、会議室ID、利用日時、利用時間	利用実績		利用履歴分析軸	サービス全体の利用履歴。会員別・物件別の利用状況を管理する
