業務	BUC	価値受益アクター	価値提供アクター	利用リソース	情報	外部システム	システム化有無	説明
オーナー管理業務	オーナー登録フロー	会議室オーナー	オーナー管理担当者		オーナー,規約		〇	会議室オーナーが規約を確認した上でオーナー申請し、審査を経て登録される業務フロー
オーナー管理業務	オーナープロフィール管理フロー	会議室オーナー	オーナー管理担当者		オーナー		〇	会議室オーナーが自身のプロフィール情報を登録・更新する業務フロー
オーナー管理業務	オーナー退会フロー	会議室オーナー	オーナー管理担当者		オーナー		〇	会議室オーナーが退会申請を行い、退会処理される業務フロー
オーナー管理業務	オーナー審査フロー	オーナー管理担当者	オーナー管理担当者		オーナー		〇	オーナー申請に対してオーナー管理担当者が審査を実施する業務フロー（※登録フローの補完）
会議室管理業務	会議室登録フロー	会議室オーナー	会議室管理担当者	鍵	会議室,運用ルール		〇	会議室オーナーが物件情報（広さ、価格、機能性）と運用ルール（キャンセルポリシー、貸出可否）を登録する業務フロー
会議室管理業務	会議室評価確認フロー	会議室オーナー	会議室管理担当者		会議室,評価		〇	会議室オーナーが自身の会議室に対する利用者からの評価を確認する業務フロー
予約業務	会議室照会フロー	利用者	予約管理担当者		会議室,評価		〇	利用者が広さ・価格・機能性・評価などの条件で会議室を照会する業務フロー
予約業務	会議室予約フロー	利用者	予約管理担当者		予約,決済手段		〇	利用者が会議室を予約し、決済手段（クレジットカード、電子マネー）を設定する業務フロー
予約業務	予約変更・取消フロー	利用者	予約管理担当者		予約		〇	利用者が予約の変更・取消を行う業務フロー
予約業務	オーナーへの問合せフロー	利用者	予約管理担当者		問合せ		〇	利用者が会議室オーナーへ問合せを行う業務フロー
貸出業務	会議室貸出フロー	利用者	会議室オーナー	鍵	予約,貸出		〇	会議室オーナーが利用者の使用許諾（過去の利用評価確認）を行い、カギを貸し出して会議室利用が開始される業務フロー
貸出業務	利用者評価フロー	会議室オーナー	会議室オーナー		利用者,評価		〇	会議室オーナーが利用者を評価（オーナー登録）する業務フロー
貸出業務	会議室評価フロー	利用者	利用者		会議室,評価		〇	利用者が利用した会議室とそのホストを評価登録する業務フロー
貸出業務	問合せ回答フロー	利用者	会議室オーナー		問合せ		〇	会議室オーナーが利用者からの問合せに回答する業務フロー
実績管理業務	会議室利用実績管理フロー	会議室オーナー	実績管理担当者		利用履歴,売上実績		〇	会議室オーナーが会議室別の利用実績・売上実績を管理する業務フロー
サービス運営業務	手数料売上分析フロー	サービス運営担当者	サービス運営担当者		手数料売上,利用履歴		〇	サービス運営担当者が会議室別・貸出別の手数料売上を分析する業務フロー
サービス運営業務	利用履歴管理フロー	サービス運営担当者	サービス運営担当者		利用履歴		〇	サービス運営担当者が会員別・物件別の利用履歴を管理する業務フロー
サービス運営業務	会議室利用状況分析フロー	サービス運営担当者	サービス運営担当者		利用履歴,会議室		〇	サービス運営担当者がサービス全体の会議室利用状況を分析する業務フロー
サービス運営業務	サービス問合せ対応フロー	利用者	サービス運営担当者		問合せ		〇	サービス運営担当者が利用者からのサービスに関する問合せに対応する業務フロー
清算業務	オーナー清算フロー	会議室オーナー	清算担当者		利用履歴,清算	決済機関	〇	会議室別の利用履歴から会議室オーナーへの清算額を算出し、月末に決済機関経由で支払う業務フロー
決済業務	利用料引落フロー	サービス運営担当者	清算担当者		予約,決済手段,清算	決済機関	〇	会議室利用後に決済機関経由でサービス運営者が利用者から利用料を引き落とす業務フロー
